[2026-02-12 05:57:37] Access attempt with fiid=CA000219, bank=ATB Financial, IP=2001:56a:fa3c:f100:c5f4:8436:29a7:1071
[2026-02-12 06:00:07] Access attempt with fiid=CA000001, bank=BMO Bank of Montreal, IP=2001:56a:fa3c:f100:c5f4:8436:29a7:1071
[2026-02-12 06:00:14] Access attempt with fiid=CA000001, bank=BMO Bank of Montreal, IP=2001:56a:fa3c:f100:c5f4:8436:29a7:1071
[2026-02-12 06:01:11] Access attempt with fiid=CA000010, bank=CIBC, IP=2001:56a:fa3c:f100:c5f4:8436:29a7:1071
[2026-02-12 06:01:18] Access attempt with fiid=CA000010, bank=CIBC, IP=2001:56a:fa3c:f100:c5f4:8436:29a7:1071
[2026-02-12 06:02:23] Access attempt with fiid=CA000382, bank=Coast Capital Savings Federal CU, IP=2001:56a:fa3c:f100:c5f4:8436:29a7:1071
[2026-02-12 06:03:16] Access attempt with fiid=CA000815, bank=Desjardins, IP=2001:56a:fa3c:f100:c5f4:8436:29a7:1071
[2026-02-12 06:03:25] Access attempt with fiid=CA000039, bank=Laurentian Bank, IP=2001:56a:fa3c:f100:c5f4:8436:29a7:1071
[2026-02-12 06:03:54] Access attempt with fiid=CA000837, bank=Meridian, IP=2001:56a:fa3c:f100:c5f4:8436:29a7:1071
[2026-02-12 06:04:04] Access attempt with fiid=CA000320, bank=PC Financial, IP=2001:56a:fa3c:f100:c5f4:8436:29a7:1071
[2026-02-12 06:04:22] Access attempt with fiid=CA000004, bank=TD Canada Trust, IP=2001:56a:fa3c:f100:c5f4:8436:29a7:1071
[2026-02-12 06:04:28] Access attempt with fiid=CA000004, bank=TD Canada Trust, IP=2001:56a:fa3c:f100:c5f4:8436:29a7:1071
[2026-02-12 06:09:24] Access attempt with fiid=CA000003, bank=RBC Royal Bank, IP=2001:56a:fa3c:f100:c5f4:8436:29a7:1071
[2026-02-12 06:09:37] Access attempt with fiid=CA000003, bank=RBC Royal Bank, IP=2001:56a:fa3c:f100:c5f4:8436:29a7:1071
[2026-02-12 06:11:19] Access attempt with fiid=CA002222, bank=Simplii Financial, IP=2001:56a:fa3c:f100:c5f4:8436:29a7:1071
[2026-02-12 06:11:27] Access attempt with fiid=CA002222, bank=Simplii Financial, IP=2001:56a:fa3c:f100:c5f4:8436:29a7:1071
